b'filename',b'decoder',b'samplerate (kHz)',b'samplewidth (bit)',b'n channels',b'n samples'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Air-Bach.mp3',b'ffmpeg',b'44100',b'16',b'2',b'14936577'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Air_on_the_G_String_(Suite_No._3,_BWV_1068)_J._S._Bach,_original_instruments.mp3'",b'ffmpeg',b'44100',b'16',b'2',b'14078977'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Allegro-Bach.mp3',b'ffmpeg',b'44100',b'16',b'2',b'14855168'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Anna-Moffo-Rachmaninoff.mp3',b'ffmpeg',b'44100',b'16',b'2',b'18788865'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Billy_Eichner,_Seth_Rogen_-_The_Lion_Sleeps_Tonight_(From__The_Lion_King__Audio_Only).mp3'",b'ffmpeg',b'44100',b'16',b'2',b'3892225'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Borodin_-_Symphony_No.1_in_E_flat_-_3._Andante.mp3',b'ffmpeg',b'44100',b'16',b'2',b'16210945'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Britney_Spears_-_Everytime.mp3',b'ffmpeg',b'44100',b'16',b'2',b'10920449'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Brothers._The_Mission._Ennio_Morricone._(Soundtrack_4).mp3',b'ffmpeg',b'44100',b'16',b'2',b'4101632'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Carole_King_-_It_s_Too_Late_(Official_Audio).mp3',b'ffmpeg',b'44100',b'16',b'2',b'10383360'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Celtic_Moods.mp3',b'ffmpeg',b'44100',b'16',b'2',b'8717313'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Celtic_Odyssey_-_A_Contemporary_Celtic_Journey_-_1993_-_Cassette_Tape_Full_Album.mp3',b'ffmpeg',b'44100',b'16',b'2',b'131584001'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Celtic_Twilight.mp3',b'ffmpeg',b'44100',b'16',b'2',b'17559041'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Chopin_-_Piano_concerto_No._1_-_Romance_(Larghetto).mp3',b'ffmpeg',b'44100',b'16',b'2',b'28922369'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Christina_Aguilera_-_Beautiful_(Official_Music_Video).mp3',b'ffmpeg',b'44100',b'16',b'2',b'10532865'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Cyndi_Lauper_-_True_Colors_(Video).mp3',b'ffmpeg',b'44100',b'16',b'2',b'10852353'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Daniel_Powter_-_Bad_Day_(Official_Music_Video).mp3',b'ffmpeg',b'44100',b'16',b'2',b'10030081'
"b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Debussy_-_Danse_sacr\xc3\xa9e_et_danse_profane,_for_harp_and_strings_(1904).mp3'",b'ffmpeg',b'44100',b'16',b'2',b'27313152'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Dream_a_Little_Dream_(1989)_-_Dancing_the_Dream_Scene_(6_9)___Movieclips.mp3',b'ffmpeg',b'44100',b'16',b'2',b'9222145'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Early_Morning_In_The_Rainforest_-_Ken_Davis.mp3',b'ffmpeg',b'44100',b'16',b'2',b'5823488'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Edvard_Grieg_-_Cradle_Song.mp3',b'ffmpeg',b'44100',b'16',b'2',b'7678977'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Edvard_Grieg_-_Solveig_s_Song.mp3',b'ffmpeg',b'44100',b'16',b'2',b'14431745'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Enya_-_(1988)_Watermark_-_01_Watermark.mp3',b'ffmpeg',b'44100',b'16',b'2',b'6455809'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Enya_-_Only_Time_(Official_Music_Video).mp3',b'ffmpeg',b'44100',b'16',b'2',b'9771009'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Et-In-Terra-Pax-Antonio-Vivaldi.mp3',b'ffmpeg',b'44100',b'16',b'2',b'13947393'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Eventide.mp3',b'ffmpeg',b'44100',b'16',b'2',b'13935600'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Gabriel_s_Oboe_-_Ennio_Morricone.mp3',b'ffmpeg',b'44100',b'16',b'2',b'8665601'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\Garden_Scene_-_Erich_Korngold.mp3',b'ffmpeg',b'44100',b'16',b'2',b'13998593'
b'C:\\Users\\yerke5\\OneDrive - The Hong Kong Polytechnic University\\Year 4\\Capstone Project\\Music Therapy Audio\\George_Bizet_-_Carmen_Suite_#1_-__Intermezzo.mp3',b'ffmpeg',b'44100',b'16',b'2',b'7109633'
